num,time,key,East_longitude,North_latitude
1,2016-08-05 18:03:01,$GPRMC,121.9347883,30.9056985
2,2016-08-05 18:03:02,$GPRMC,121.9347856,30.9057015
3,2016-08-05 18:03:03,$GPRMC,121.9347899,30.90570201
4,2016-08-05 18:03:04,$GPRMC,121.9347945,30.90570686
5,2016-08-05 18:03:05,$GPRMC,121.9347915,30.90570444
6,2016-08-05 18:03:06,$GPRMC,121.9347959,30.90570684
7,2016-08-05 18:03:07,$GPRMC,121.9347948,30.90570767
8,2016-08-05 18:03:08,$GPRMC,121.9347894,30.90570771
9,2016-08-05 18:03:14,$GPRMC,121.9347864,30.90571235
10,2016-08-05 18:03:15,$GPRMC,121.9347834,30.90571318
11,2016-08-05 18:03:16,$GPRMC,121.9347899,30.90571449
12,2016-08-05 18:03:17,$GPRMC,121.9347853,30.90571534
13,2016-08-05 18:03:18,$GPRMC,121.9347834,30.90571481
14,2016-08-05 18:03:19,$GPRMC,121.934788,30.90571559
15,2016-08-05 18:03:20,$GPRMC,121.9347877,30.90571993
16,2016-08-05 18:03:21,$GPRMC,121.9347926,30.90571853
17,2016-08-05 18:03:23,$GPRMC,121.9347899,30.90572696
18,2016-08-05 18:03:24,$GPRMC,121.9347845,30.90572918
19,2016-08-05 18:03:25,$GPRMC,121.9347902,30.90572913
20,2016-08-05 18:03:27,$GPRMC,121.9347891,30.90572724
21,2016-08-05 18:03:28,$GPRMC,121.9347926,30.90572965
22,2016-08-05 18:03:29,$GPRMC,121.934785,30.90573324
23,2016-08-05 18:03:30,$GPRMC,121.9347823,30.90573624
24,2016-08-05 18:03:31,$GPRMC,121.9347831,30.90573488
25,2016-08-05 18:03:32,$GPRMC,121.9347872,30.90574298
26,2016-08-05 18:03:33,$GPRMC,121.934782,30.90574547
27,2016-08-05 18:03:34,$GPRMC,121.9347833,30.90574763
28,2016-08-05 18:03:35,$GPRMC,121.9347806,30.9057528
29,2016-08-05 18:03:37,$GPRMC,121.9347882,30.90575626
30,2016-08-05 18:03:38,$GPRMC,121.9347896,30.90575598
31,2016-08-05 18:03:39,$GPRMC,121.9347858,30.90575981
32,2016-08-05 18:03:40,$GPRMC,121.9347869,30.9057636
33,2016-08-05 18:03:41,$GPRMC,121.9347888,30.90576277
34,2016-08-05 18:03:42,$GPRMC,121.9347831,30.90576309
35,2016-08-05 18:03:43,$GPRMC,121.9347882,30.90576657
36,2016-08-05 18:03:44,$GPGGA,121.934788,30.90576495
37,2016-08-05 18:03:58,$GPGGA,121.9347871,30.90579289
38,2016-08-05 18:04:07,$GPGLL,121.9347857,30.90579507
40,2016-08-05 18:04:08,$GPGLL,121.9347876,30.90579641
41,2016-08-05 18:04:09,$GPRMC,121.9347855,30.90580022
45,2016-08-05 18:04:12,$GPGGA,121.9347874,30.90580536
49,2016-08-05 18:04:20,$GPGLL,121.934789,30.90581429
51,2016-08-05 18:04:21,$GPGLL,121.934798,30.90581287
53,2016-08-05 18:04:22,$GPRMC,121.9347947,30.90581642
54,2016-08-05 18:04:25,$GPGGA,121.9347898,30.90580805
58,2016-08-05 18:04:34,$GPGLL,121.9347876,30.90583031
60,2016-08-05 18:04:35,$GPRMC,121.9347955,30.90583377
61,2016-08-05 18:04:37,$GPGGA,121.9347963,30.90583566
62,2016-08-05 18:04:48,$GPGSV,121.934786,30.90584442
63,2016-08-05 18:04:51,$GPGGA,121.9347941,30.90584544
67,2016-08-05 18:05:01,$GPRMC,121.9347884,30.90584142
68,2016-08-05 18:05:02,$GPRMC,121.9347838,30.90584363
69,2016-08-05 18:05:05,$GPGGA,121.9347868,30.90584713
73,2016-08-05 18:05:13,$GPGLL,121.9347705,30.90584699
76,2016-08-05 18:05:14,$GPRMC,121.9347697,30.90584347
77,2016-08-05 18:05:16,$GPGGA,121.9347729,30.90584236
79,2016-08-05 18:05:26,$GPGLL,121.9347702,30.9058657
81,2016-08-05 18:05:28,$GPRMC,121.9347642,30.90587199
83,2016-08-05 18:05:29,$GPRMC,121.9347655,30.90587876
84,2016-08-05 18:05:30,$GPRMC,121.9347642,30.90587551
85,2016-08-05 18:05:32,$GPGGA,121.9347579,30.90588451
87,2016-08-05 18:05:40,$GPGLL,121.9347558,30.90587802
88,2016-08-05 18:05:41,$GPRGLL,121.9347585,30.90587556
89,2016-08-05 18:05:42,$GPRMC,121.9347525,30.90588157
93,2016-08-05 18:05:44,$GPGGA,121.9347544,30.90588292
95,2016-08-05 18:05:54,$GPRMC,121.9347566,30.90587829
96,2016-08-05 18:05:57,$GPGGA,121.9347636,30.90588338
99,2016-08-05 18:05:58,$GPGGA,121.9347585,30.90587719
105,2016-08-05 18:06:05,$GPGLL,121.9347672,30.90587766
106,2016-08-05 18:06:06,$GPGLL,121.934768,30.9058847
108,2016-08-05 18:06:07,$GPRMC,121.9347737,30.90588167
109,2016-08-05 18:06:08,$GPRMC,121.9347732,30.90588358
